"metadata__danceability","metadata__energy","metadata__key","metadata__loudness","metadata__mode","metadata__speechiness","metadata__acousticness","metadata__instrumentalness","metadata__liveness","metadata__valence","metadata__tempo","metadata__type","metadata__id","metadata__uri","metadata__track_href","metadata__analysis_url","metadata__duration_ms","metadata__time_signature","genres__001","genres__002","genres__003","genres__004","genres__005","genres__006","genres__007","genres__008","genres__009","genres__010"
"0.509","0.678","1","-7.536","0","0.157","0.64","0.737","0.132","0.319","129.665","audio_features","0ROCe58wXm7sBUPkZaRrnY","spotify:track:0ROCe58wXm7sBUPkZaRrnY","https://api.spotify.com/v1/tracks/0ROCe58wXm7sBUPkZaRrnY","https://api.spotify.com/v1/audio-analysis/0ROCe58wXm7sBUPkZaRrnY","199615","4","catstep","edm","electro house","","","","","","",""
"0.956","0.373","6","-7.963","1","0.0773","0.569","0.394","0.314","0.568","119.994","audio_features","3DPFmwFtV5ElQaTniLOdgk","spotify:track:3DPFmwFtV5ElQaTniLOdgk","https://api.spotify.com/v1/tracks/3DPFmwFtV5ElQaTniLOdgk","https://api.spotify.com/v1/audio-analysis/3DPFmwFtV5ElQaTniLOdgk","268333","4","chillwave","indie pop","indie rock","indie soul","indietronica","kiwi rock","neo-psychedelic","new rave","portland hip hop","psychedelic pop"
"0.341","0.354","2","-15.346","1","0.0846","0.478","0.0782","0.155","0.117","124.872","audio_features","0qlwDRhrYcE5JC07JbXTer","spotify:track:0qlwDRhrYcE5JC07JbXTer","https://api.spotify.com/v1/tracks/0qlwDRhrYcE5JC07JbXTer","https://api.spotify.com/v1/audio-analysis/0qlwDRhrYcE5JC07JbXTer","206160","1","electropop","indie anthem-folk","indie cafe pop","indie folk","vapor soul","","","","",""
"0.684","0.255","10","-9.381","0","0.0445","0.805","0.79","0.0884","0.33","84.226","audio_features","1eoGO19WEflJbAV8BLebhr","spotify:track:1eoGO19WEflJbAV8BLebhr","https://api.spotify.com/v1/tracks/1eoGO19WEflJbAV8BLebhr","https://api.spotify.com/v1/audio-analysis/1eoGO19WEflJbAV8BLebhr","152000","4","lo-fi beats","chillhop","jazz boom bap","","","","","","",""
"0.783","0.467","6","-9.474","1","0.0503","0.729","0.809","0.109","0.236","90.838","audio_features","0hNduWmlWmEmuwEFcYvRu1","spotify:track:0hNduWmlWmEmuwEFcYvRu1","https://api.spotify.com/v1/tracks/0hNduWmlWmEmuwEFcYvRu1","https://api.spotify.com/v1/audio-analysis/0hNduWmlWmEmuwEFcYvRu1","237793","4","new french touch","tropical house","","","","","","","",""
"0.786","0.686","4","-7.18","1","0.0289","0.276","0.668","0.0416","0.542","119.997","audio_features","35QAUfIbfIXT3p3cWhaKxZ","spotify:track:35QAUfIbfIXT3p3cWhaKxZ","https://api.spotify.com/v1/tracks/35QAUfIbfIXT3p3cWhaKxZ","https://api.spotify.com/v1/audio-analysis/35QAUfIbfIXT3p3cWhaKxZ","261773","4","la indie","","","","","","","","",""
"0.772","0.745","11","-10.194","1","0.0405","0.595","0.87","0.117","0.166","116.014","audio_features","4p1NHiFP4PfV7eW1183Ej9","spotify:track:4p1NHiFP4PfV7eW1183Ej9","https://api.spotify.com/v1/tracks/4p1NHiFP4PfV7eW1183Ej9","https://api.spotify.com/v1/audio-analysis/4p1NHiFP4PfV7eW1183Ej9","273162","4","new french touch","tropical house","","","","","","","",""
"0.765","0.18","10","-10.989","1","0.0788","0.656","0.813","0.128","0.493","80.043","audio_features","14g97mcfbz1G8fVGvPKDWa","spotify:track:14g97mcfbz1G8fVGvPKDWa","https://api.spotify.com/v1/tracks/14g97mcfbz1G8fVGvPKDWa","https://api.spotify.com/v1/audio-analysis/14g97mcfbz1G8fVGvPKDWa","150000","4","chillhop","lo-fi beats","","","","","","","",""
"0.499","0.269","9","-12.692","1","0.0625","0.693","0.799","0.0638","0.0422","152.134","audio_features","7tYYTsmIYKfjK1St3JwrW4","spotify:track:7tYYTsmIYKfjK1St3JwrW4","https://api.spotify.com/v1/tracks/7tYYTsmIYKfjK1St3JwrW4","https://api.spotify.com/v1/audio-analysis/7tYYTsmIYKfjK1St3JwrW4","123288","4","","","","","","","","","",""
"0.791","0.267","5","-11.997","1","0.0415","0.674","0.534","0.102","0.544","165.99","audio_features","01TyFEZu6mHbffsVfxgrFn","spotify:track:01TyFEZu6mHbffsVfxgrFn","https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn","https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn","215111","4","indie pop","","","","","","","","",""
