"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"0.627","0.706","-7.777","0","0.041","0.240","0.001","0.109","0.763","117.369","229660.400"
"0.585","0.603","-7.675","1","0.041","0.255","0.177","0.158","0.558","124.404","213437.643"
"0.522","0.863","-4.419","1","0.048","0.113","0.258","0.226","0.509","116.131","189367.800"
"0.679","0.466","-10.417","1","0.070","0.516","0.638","0.142","0.349","113.003","224846.848"
"0.687","0.484","-10.197","0","0.061","0.440","0.515","0.116","0.364","110.760","195746.833"
"0.531","0.756","-7.645","0","0.046","0.065","0.620","0.107","0.257","129.007","283304.250"
"0.622","0.707","-6.860","1","0.050","0.161","0.184","0.176","0.520","127.876","233898.300"
"0.598","0.644","-10.517","0","0.047","0.377","0.865","0.129","0.333","124.508","263167.880"
"0.566","0.844","-4.454","1","0.084","0.053","0.187","0.196","0.305","133.760","195269.250"
"0.644","0.674","-7.329","1","0.041","0.273","0.147","0.154","0.550","121.038","226310.740"
"0.826","0.484","-9.295","0","0.168","0.300","0.000","0.194","0.518","132.178","238068.500"
"0.546","0.658","-7.179","1","0.046","0.261","0.190","0.156","0.438","119.963","244865.000"
"0.522","0.863","-4.419","1","0.048","0.113","0.258","0.226","0.509","116.131","189367.800"
"0.562","0.544","-9.744","0","0.035","0.279","0.566","0.168","0.531","111.343","296334.105"
"0.531","0.462","-9.858","1","0.037","0.512","0.183","0.134","0.285","117.112","243951.500"
"0.763","0.677","-6.007","1","0.078","0.226","0.000","0.279","0.308","92.011","233848.000"
"0.608","0.831","-6.565","1","0.034","0.506","0.001","0.111","0.371","129.996","224413.000"
"0.647","0.538","-8.742","1","0.050","0.357","0.257","0.146","0.434","120.989","247048.340"
"0.532","0.473","-10.749","1","0.084","0.289","0.318","0.144","0.102","111.789","349246.000"
"0.587","0.620","-7.628","1","0.034","0.311","0.261","0.164","0.448","124.827","273541.909"
"0.550","0.723","-6.932","1","0.033","0.677","0.322","0.286","0.430","127.842","238850.429"
"0.612","0.790","-5.270","1","0.052","0.073","0.050","0.203","0.537","123.699","221318.920"
"0.518","0.497","-8.927","1","0.040","0.351","0.110","0.241","0.423","128.193","348398.607"
"0.514","0.440","-9.468","1","0.034","0.569","0.022","0.137","0.286","116.167","255467.486"
"0.636","0.458","-10.221","1","0.057","0.507","0.527","0.126","0.356","111.134","251100.579"
"0.281","0.217","-18.846","0","0.049","0.755","0.806","0.141","0.144","111.681","295740.700"
"0.362","0.215","-19.940","0","0.051","0.675","0.824","0.126","0.248","105.533","250371.250"
"0.473","0.519","-9.415","1","0.038","0.709","0.340","0.238","0.269","140.826","234921.200"
"0.658","0.841","-4.464","0","0.093","0.075","0.180","0.199","0.444","124.893","206180.220"
"0.552","0.474","-11.098","0","0.064","0.338","0.805","0.188","0.518","104.698","195423.400"
"0.645","0.510","-9.912","1","0.042","0.440","0.228","0.150","0.434","119.632","225569.290"
"0.580","0.546","-8.685","1","0.044","0.312","0.391","0.152","0.417","111.548","223422.533"
"0.601","0.376","-11.239","1","0.041","0.676","0.103","0.122","0.312","124.356","238058.048"
"0.441","0.336","-11.773","1","0.034","0.697","0.303","0.154","0.186","112.043","269554.960"
"0.396","0.963","-3.819","1","0.061","0.002","0.000","0.299","0.846","157.816","176723.500"
"0.512","0.758","-5.882","1","0.048","0.113","0.083","0.178","0.543","129.376","218394.420"
"0.673","0.508","-12.283","1","0.045","0.328","0.226","0.180","0.578","116.948","219664.000"
"0.626","0.449","-10.307","1","0.047","0.538","0.208","0.146","0.350","117.885","237184.680"
"0.538","0.544","-9.008","1","0.038","0.434","0.175","0.152","0.372","123.173","243821.600"
"0.568","0.447","-10.753","1","0.051","0.426","0.413","0.125","0.265","114.966","251238.320"
"0.624","0.722","-6.379","0","0.049","0.139","0.143","0.193","0.446","131.803","238988.786"
"0.608","0.887","-4.452","1","0.074","0.063","0.134","0.173","0.290","134.924","229571.933"
"0.618","0.514","-10.503","1","0.057","0.444","0.413","0.147","0.131","112.575","340664.667"
"0.728","0.759","-4.861","0","0.093","0.109","0.000","0.172","0.607","122.609","238376.960"
"0.684","0.542","-8.885","1","0.054","0.469","0.295","0.131","0.391","113.880","241491.760"
